#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_003833545.1	PRJNA224116	SAMN07424233	NSNE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W36		latest	Contig	Major	Full	2018/11/26	ASM383354v1	International Pseudomonas aeruginosa Consortium	GCA_003833545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/545/GCF_003833545.1_ASM383354v1		
GCF_003833565.1	PRJNA224116	SAMN07424231	NSNG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W32		latest	Contig	Major	Full	2018/11/26	ASM383356v1	International Pseudomonas aeruginosa Consortium	GCA_003833565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/565/GCF_003833565.1_ASM383356v1		
GCF_003833585.1	PRJNA224116	SAMN07424229	NSNI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W29		latest	Contig	Major	Full	2018/11/26	ASM383358v1	International Pseudomonas aeruginosa Consortium	GCA_003833585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/585/GCF_003833585.1_ASM383358v1		
GCF_003833605.1	PRJNA224116	SAMN07424235	NSNC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W38		latest	Contig	Major	Full	2018/11/26	ASM383360v1	International Pseudomonas aeruginosa Consortium	GCA_003833605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/605/GCF_003833605.1_ASM383360v1		
GCF_003833625.1	PRJNA224116	SAMN07424234	NSND00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W37		latest	Contig	Major	Full	2018/11/26	ASM383362v1	International Pseudomonas aeruginosa Consortium	GCA_003833625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/625/GCF_003833625.1_ASM383362v1		
GCF_003833645.1	PRJNA224116	SAMN07424232	NSNF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W33		latest	Contig	Major	Full	2018/11/26	ASM383364v1	International Pseudomonas aeruginosa Consortium	GCA_003833645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/645/GCF_003833645.1_ASM383364v1		
GCF_003833665.1	PRJNA224116	SAMN07424222	NSNP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W10		latest	Contig	Major	Full	2018/11/26	ASM383366v1	International Pseudomonas aeruginosa Consortium	GCA_003833665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/665/GCF_003833665.1_ASM383366v1		
GCF_003833685.1	PRJNA224116	SAMN07424218	NSNT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W1		latest	Contig	Major	Full	2018/11/26	ASM383368v1	International Pseudomonas aeruginosa Consortium	GCA_003833685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/685/GCF_003833685.1_ASM383368v1		
GCF_003833705.1	PRJNA224116	SAMN07424226	NSNL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W23		latest	Contig	Major	Full	2018/11/26	ASM383370v1	International Pseudomonas aeruginosa Consortium	GCA_003833705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/705/GCF_003833705.1_ASM383370v1		
GCF_003833715.1	PRJNA224116	SAMN07424224	NSNN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W16		latest	Contig	Major	Full	2018/11/26	ASM383371v1	International Pseudomonas aeruginosa Consortium	GCA_003833715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/715/GCF_003833715.1_ASM383371v1		
GCF_003833745.1	PRJNA224116	SAMN07424216	NSNV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AA43		latest	Contig	Major	Full	2018/11/26	ASM383374v1	International Pseudomonas aeruginosa Consortium	GCA_003833745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/745/GCF_003833745.1_ASM383374v1		
GCF_003833765.1	PRJNA224116	SAMN07424221	NSNQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W5		latest	Contig	Major	Full	2018/11/26	ASM383376v1	International Pseudomonas aeruginosa Consortium	GCA_003833765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/765/GCF_003833765.1_ASM383376v1		
GCF_003833785.1	PRJNA224116	SAMN07424220	NSNR00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W4		latest	Contig	Major	Full	2018/11/26	ASM383378v1	International Pseudomonas aeruginosa Consortium	GCA_003833785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/785/GCF_003833785.1_ASM383378v1		
GCF_003833805.1	PRJNA224116	SAMN07424209	NSOC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH28		latest	Contig	Major	Full	2018/11/26	ASM383380v1	International Pseudomonas aeruginosa Consortium	GCA_003833805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/805/GCF_003833805.1_ASM383380v1		
GCF_003833825.1	PRJNA224116	SAMN07424206	NSOF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH22		latest	Contig	Major	Full	2018/11/26	ASM383382v1	International Pseudomonas aeruginosa Consortium	GCA_003833825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/825/GCF_003833825.1_ASM383382v1		
GCF_003833845.1	PRJNA224116	SAMN07424217	NSNU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AA44		latest	Contig	Major	Full	2018/11/26	ASM383384v1	International Pseudomonas aeruginosa Consortium	GCA_003833845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/845/GCF_003833845.1_ASM383384v1		
GCF_003833865.1	PRJNA224116	SAMN07424214	NSNX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=21BR		latest	Contig	Major	Full	2018/11/26	ASM383386v1	International Pseudomonas aeruginosa Consortium	GCA_003833865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/865/GCF_003833865.1_ASM383386v1		
GCF_003833885.1	PRJNA224116	SAMN07424212	NSNZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=205BR		latest	Contig	Major	Full	2018/11/26	ASM383388v1	International Pseudomonas aeruginosa Consortium	GCA_003833885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/885/GCF_003833885.1_ASM383388v1		
GCF_003833905.1	PRJNA224116	SAMN07424198	NSON00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HB392		latest	Contig	Major	Full	2018/11/26	ASM383390v1	International Pseudomonas aeruginosa Consortium	GCA_003833905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/905/GCF_003833905.1_ASM383390v1		
GCF_003833925.1	PRJNA224116	SAMN07424186	NSOZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM308		latest	Contig	Major	Full	2018/11/26	ASM383392v1	International Pseudomonas aeruginosa Consortium	GCA_003833925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/925/GCF_003833925.1_ASM383392v1		
GCF_003833935.1	PRJNA224116	SAMN07424248	NSMP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=G1-WATER-2A		latest	Contig	Major	Full	2018/11/26	ASM383393v1	International Pseudomonas aeruginosa Consortium	GCA_003833935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/935/GCF_003833935.1_ASM383393v1		
GCF_003833955.1	PRJNA224116	SAMN07424237	NSNA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W42		latest	Contig	Major	Full	2018/11/26	ASM383395v1	International Pseudomonas aeruginosa Consortium	GCA_003833955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/955/GCF_003833955.1_ASM383395v1		
GCF_003833965.1	PRJNA224116	SAMN07424243	NSMU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=AL363(Israel 14)		latest	Contig	Major	Full	2018/11/26	ASM383396v1	International Pseudomonas aeruginosa Consortium	GCA_003833965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/833/965/GCF_003833965.1_ASM383396v1		
GCF_003834005.1	PRJNA224116	SAMN07424236	NSNB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W39		latest	Contig	Major	Full	2018/11/26	ASM383400v1	International Pseudomonas aeruginosa Consortium	GCA_003834005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/005/GCF_003834005.1_ASM383400v1		
GCF_003834015.1	PRJNA224116	SAMN07424230	NSNH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W31		latest	Contig	Major	Full	2018/11/26	ASM383401v1	International Pseudomonas aeruginosa Consortium	GCA_003834015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/015/GCF_003834015.1_ASM383401v1		
GCF_003834025.1	PRJNA224116	SAMN07424228	NSNJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W28		latest	Contig	Major	Full	2018/11/26	ASM383402v1	International Pseudomonas aeruginosa Consortium	GCA_003834025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/025/GCF_003834025.1_ASM383402v1		
GCF_003834035.1	PRJNA224116	SAMN07424238	NSMZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W43		latest	Contig	Major	Full	2018/11/26	ASM383403v1	International Pseudomonas aeruginosa Consortium	GCA_003834035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/035/GCF_003834035.1_ASM383403v1		
GCF_003834085.1	PRJNA224116	SAMN07424225	NSNM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W21		latest	Contig	Major	Full	2018/11/26	ASM383408v1	International Pseudomonas aeruginosa Consortium	GCA_003834085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/085/GCF_003834085.1_ASM383408v1		
GCF_003834105.1	PRJNA224116	SAMN07424223	NSNO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W14		latest	Contig	Major	Full	2018/11/26	ASM383410v1	International Pseudomonas aeruginosa Consortium	GCA_003834105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/105/GCF_003834105.1_ASM383410v1		
GCF_003834125.1	PRJNA224116	SAMN07424227	NSNK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W24		latest	Contig	Major	Full	2018/11/26	ASM383412v1	International Pseudomonas aeruginosa Consortium	GCA_003834125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/125/GCF_003834125.1_ASM383412v1		
GCF_003834135.1	PRJNA224116	SAMN07424211	NSOA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=211BR		latest	Contig	Major	Full	2018/11/26	ASM383413v1	International Pseudomonas aeruginosa Consortium	GCA_003834135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/135/GCF_003834135.1_ASM383413v1		
GCF_003834165.1	PRJNA224116	SAMN07424208	NSOD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH26		latest	Contig	Major	Full	2018/11/26	ASM383416v1	International Pseudomonas aeruginosa Consortium	GCA_003834165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/165/GCF_003834165.1_ASM383416v1		
GCF_003834185.1	PRJNA224116	SAMN07424219	NSNS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=PA-W3		latest	Contig	Major	Full	2018/11/26	ASM383418v1	International Pseudomonas aeruginosa Consortium	GCA_003834185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/185/GCF_003834185.1_ASM383418v1		
GCF_003834195.1	PRJNA224116	SAMN07424215	NSNW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=36BR		latest	Contig	Major	Full	2018/11/26	ASM383419v1	International Pseudomonas aeruginosa Consortium	GCA_003834195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/195/GCF_003834195.1_ASM383419v1		
GCF_003834225.1	PRJNA224116	SAMN07424213	NSNY00000000.1	na	287	287	Pseudomonas aeruginosa	strain=172BR		latest	Contig	Major	Full	2018/11/26	ASM383422v1	International Pseudomonas aeruginosa Consortium	GCA_003834225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/225/GCF_003834225.1_ASM383422v1		
GCF_003834235.1	PRJNA224116	SAMN07424175	NSPK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E1(T4189)		latest	Contig	Major	Full	2018/11/26	ASM383423v1	International Pseudomonas aeruginosa Consortium	GCA_003834235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/235/GCF_003834235.1_ASM383423v1		
GCF_003834265.1	PRJNA224116	SAMN07424210	NSOB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=175BR		latest	Contig	Major	Full	2018/11/26	ASM383426v1	International Pseudomonas aeruginosa Consortium	GCA_003834265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/265/GCF_003834265.1_ASM383426v1		
GCF_003834285.1	PRJNA224116	SAMN07424202	NSOJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH12		latest	Contig	Major	Full	2018/11/26	ASM383428v1	International Pseudomonas aeruginosa Consortium	GCA_003834285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/285/GCF_003834285.1_ASM383428v1		
GCF_003834305.1	PRJNA224116	SAMN07424191	NSOU00000000.1	na	287	287	Pseudomonas aeruginosa	strain=CF27		latest	Contig	Major	Full	2018/11/26	ASM383430v1	International Pseudomonas aeruginosa Consortium	GCA_003834305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/305/GCF_003834305.1_ASM383430v1		
GCF_003834325.1	PRJNA224116	SAMN07424199	NSOM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH6		latest	Contig	Major	Full	2018/11/26	ASM383432v1	International Pseudomonas aeruginosa Consortium	GCA_003834325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/325/GCF_003834325.1_ASM383432v1		
GCF_003834335.1	PRJNA224116	SAMN07424203	NSOI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH14		latest	Scaffold	Major	Full	2018/11/26	ASM383433v1	International Pseudomonas aeruginosa Consortium	GCA_003834335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/335/GCF_003834335.1_ASM383433v1		
GCF_003834355.1	PRJNA224116	SAMN07424196	NSOP00000000.1	na	287	287	Pseudomonas aeruginosa	strain=X24509		latest	Contig	Major	Full	2018/11/26	ASM383435v1	International Pseudomonas aeruginosa Consortium	GCA_003834355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/355/GCF_003834355.1_ASM383435v1		
GCF_003834385.1	PRJNA224116	SAMN07424204	NSOH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH16		latest	Contig	Major	Full	2018/11/26	ASM383438v1	International Pseudomonas aeruginosa Consortium	GCA_003834385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/385/GCF_003834385.1_ASM383438v1		
GCF_003834395.1	PRJNA224116	SAMN07424205	NSOG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH18		latest	Contig	Major	Full	2018/11/26	ASM383439v1	International Pseudomonas aeruginosa Consortium	GCA_003834395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/395/GCF_003834395.1_ASM383439v1		
GCF_003834405.1	PRJNA224116	SAMN07424207	NSOE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JYH24		latest	Contig	Major	Full	2018/11/26	ASM383440v1	International Pseudomonas aeruginosa Consortium	GCA_003834405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/405/GCF_003834405.1_ASM383440v1		
GCF_003834445.1	PRJNA224116	SAMN07424192	NSOT00000000.1	na	287	287	Pseudomonas aeruginosa	strain=CF127		latest	Contig	Major	Full	2018/11/26	ASM383444v1	International Pseudomonas aeruginosa Consortium	GCA_003834445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/445/GCF_003834445.1_ASM383444v1		
GCF_003834465.1	PRJNA224116	SAMN07424188	NSOX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=D9 3362		latest	Scaffold	Major	Full	2018/11/26	ASM383446v1	International Pseudomonas aeruginosa Consortium	GCA_003834465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/465/GCF_003834465.1_ASM383446v1		
GCF_003834495.1	PRJNA224116	SAMN07424195	NSOQ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=U2504		latest	Contig	Major	Full	2018/11/26	ASM383449v1	International Pseudomonas aeruginosa Consortium	GCA_003834495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/495/GCF_003834495.1_ASM383449v1		
GCF_003834525.1	PRJNA224116	SAMN07424187	NSOY00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM324		latest	Contig	Major	Full	2018/11/26	ASM383452v1	International Pseudomonas aeruginosa Consortium	GCA_003834525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/525/GCF_003834525.1_ASM383452v1		
GCF_003834545.1	PRJNA224116	SAMN07424193	NSOS00000000.1	na	287	287	Pseudomonas aeruginosa	strain=JJ692		latest	Contig	Major	Full	2018/11/26	ASM383454v1	International Pseudomonas aeruginosa Consortium	GCA_003834545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/545/GCF_003834545.1_ASM383454v1		
GCF_003834565.1	PRJNA224116	SAMN07424183	NSPC00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM301		latest	Contig	Major	Full	2018/11/26	ASM383456v1	International Pseudomonas aeruginosa Consortium	GCA_003834565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/565/GCF_003834565.1_ASM383456v1		
GCF_003834585.1	PRJNA224116	SAMN07424182	NSPD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM300		latest	Contig	Major	Full	2018/11/26	ASM383458v1	International Pseudomonas aeruginosa Consortium	GCA_003834585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/585/GCF_003834585.1_ASM383458v1		
GCF_003834605.1	PRJNA224116	SAMN07424185	NSPA00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM307		latest	Contig	Major	Full	2018/11/26	ASM383460v1	International Pseudomonas aeruginosa Consortium	GCA_003834605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/605/GCF_003834605.1_ASM383460v1		
GCF_003834615.1	PRJNA224116	SAMN07424184	NSPB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM306		latest	Contig	Major	Full	2018/11/26	ASM383461v1	International Pseudomonas aeruginosa Consortium	GCA_003834615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/615/GCF_003834615.1_ASM383461v1		
GCF_003834645.1	PRJNA224116	SAMN07424181	NSPE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM299		latest	Contig	Major	Full	2018/11/26	ASM383464v1	International Pseudomonas aeruginosa Consortium	GCA_003834645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/645/GCF_003834645.1_ASM383464v1		
GCF_003834655.1	PRJNA224116	SAMN07424180	NSPF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=HM294		latest	Scaffold	Major	Full	2018/11/26	ASM383465v1	International Pseudomonas aeruginosa Consortium	GCA_003834655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/655/GCF_003834655.1_ASM383465v1		
GCF_003834665.1	PRJNA224116	SAMN07424174	NSPL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=B9(T2436)		latest	Contig	Major	Full	2018/11/26	ASM383466v1	International Pseudomonas aeruginosa Consortium	GCA_003834665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/665/GCF_003834665.1_ASM383466v1		
GCF_003834685.1	PRJNA224116	SAMN07424172	NSPN00000000.1	na	287	287	Pseudomonas aeruginosa	strain=B3(T2101)		latest	Contig	Major	Full	2018/11/26	ASM383468v1	International Pseudomonas aeruginosa Consortium	GCA_003834685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/685/GCF_003834685.1_ASM383468v1		
GCF_003834725.1	PRJNA224116	SAMN07424164	NSPV00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP10b		latest	Contig	Major	Full	2018/11/26	ASM383472v1	International Pseudomonas aeruginosa Consortium	GCA_003834725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/725/GCF_003834725.1_ASM383472v1		
GCF_003834745.1	PRJNA224116	SAMN07424163	NSPW00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP10a		latest	Contig	Major	Full	2018/11/26	ASM383474v1	International Pseudomonas aeruginosa Consortium	GCA_003834745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/745/GCF_003834745.1_ASM383474v1		
GCF_003834765.1	PRJNA224116	SAMN07424160	NSPZ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP7		latest	Contig	Major	Full	2018/11/26	ASM383476v1	International Pseudomonas aeruginosa Consortium	GCA_003834765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/765/GCF_003834765.1_ASM383476v1		
GCF_003834785.1	PRJNA224116	SAMN07424158	NSQB00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP5		latest	Contig	Major	Full	2018/11/26	ASM383478v1	International Pseudomonas aeruginosa Consortium	GCA_003834785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/785/GCF_003834785.1_ASM383478v1		
GCF_003834805.1	PRJNA224116	SAMN07424155	NSQE00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP2c		latest	Contig	Major	Full	2018/11/26	ASM383480v1	International Pseudomonas aeruginosa Consortium	GCA_003834805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/805/GCF_003834805.1_ASM383480v1		
GCF_003834825.1	PRJNA224116	SAMN07424178	NSPH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=E9(4068)		latest	Contig	Major	Full	2018/11/26	ASM383482v1	International Pseudomonas aeruginosa Consortium	GCA_003834825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/825/GCF_003834825.1_ASM383482v1		
GCF_003834835.1	PRJNA224116	SAMN07424154	NSQF00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP2b		latest	Contig	Major	Full	2018/11/26	ASM383483v1	International Pseudomonas aeruginosa Consortium	GCA_003834835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/835/GCF_003834835.1_ASM383483v1		
GCF_003834865.1	PRJNA224116	SAMN07424162	NSPX00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP9		latest	Contig	Major	Full	2018/11/26	ASM383486v1	International Pseudomonas aeruginosa Consortium	GCA_003834865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/865/GCF_003834865.1_ASM383486v1		
GCF_003834885.1	PRJNA224116	SAMN07424152	NSQH00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP1d		latest	Contig	Major	Full	2018/11/26	ASM383488v1	International Pseudomonas aeruginosa Consortium	GCA_003834885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/885/GCF_003834885.1_ASM383488v1		
GCF_003834895.1	PRJNA224116	SAMN07424151	NSQI00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP1c		latest	Contig	Major	Full	2018/11/26	ASM383489v1	International Pseudomonas aeruginosa Consortium	GCA_003834895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/895/GCF_003834895.1_ASM383489v1		
GCF_003834925.1	PRJNA224116	SAMN07424156	NSQD00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP3		latest	Contig	Major	Full	2018/11/26	ASM383492v1	International Pseudomonas aeruginosa Consortium	GCA_003834925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/925/GCF_003834925.1_ASM383492v1		
GCF_003834945.1	PRJNA224116	SAMN07424149	NSQK00000000.1	na	287	287	Pseudomonas aeruginosa	strain=H3		latest	Contig	Major	Full	2018/11/26	ASM383494v1	International Pseudomonas aeruginosa Consortium	GCA_003834945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/945/GCF_003834945.1_ASM383494v1		
GCF_003834965.1	PRJNA224116	SAMN07424153	NSQG00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP2a		latest	Contig	Major	Full	2018/11/26	ASM383496v1	International Pseudomonas aeruginosa Consortium	GCA_003834965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/965/GCF_003834965.1_ASM383496v1		
GCF_003834985.1	PRJNA224116	SAMN07424145	NSQO00000000.1	na	287	287	Pseudomonas aeruginosa	strain=D1		latest	Contig	Major	Full	2018/11/26	ASM383498v1	International Pseudomonas aeruginosa Consortium	GCA_003834985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/834/985/GCF_003834985.1_ASM383498v1		
GCF_003835005.1	PRJNA224116	SAMN07424150	NSQJ00000000.1	na	287	287	Pseudomonas aeruginosa	strain=LiP1a		latest	Contig	Major	Full	2018/11/26	ASM383500v1	International Pseudomonas aeruginosa Consortium	GCA_003835005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/835/005/GCF_003835005.1_ASM383500v1		
GCF_003835015.1	PRJNA224116	SAMN07424148	NSQL00000000.1	na	287	287	Pseudomonas aeruginosa	strain=G2		latest	Contig	Major	Full	2018/11/26	ASM383501v1	International Pseudomonas aeruginosa Consortium	GCA_003835015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/835/015/GCF_003835015.1_ASM383501v1		
GCF_003835045.1	PRJNA224116	SAMN07424147	NSQM00000000.1	na	287	287	Pseudomonas aeruginosa	strain=F2		latest	Contig	Major	Full	2018/11/26	ASM383504v1	International Pseudomonas aeruginosa Consortium	GCA_003835045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/835/045/GCF_003835045.1_ASM383504v1		
